// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6f69a7c5-bf42-426a-a234-8b71146dee6e
// command took 1.95s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6f69a7c5-bf42-426a-a234-8b71146dee6e
// command took 16.79s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6f69a7c5-bf42-426a-a234-8b71146dee6e
// command took 5s and exited with 0
// ***** Done, took 00:00:24 (24.29 sec)   *****
// Found 4 benchmarks:
//   ListVsLinkedList.ListPrepend: Job-JPKLFB(InvocationCount=10000, IterationCount=1, LaunchCount=1)
//   ListVsLinkedList.LinkedListPrepend: Job-JPKLFB(InvocationCount=10000, IterationCount=1, LaunchCount=1)
//   ListVsLinkedList.ListInsert: Job-JPKLFB(InvocationCount=10000, IterationCount=1, LaunchCount=1)
//   ListVsLinkedList.LinkedListInsert: Job-JPKLFB(InvocationCount=10000, IterationCount=1, LaunchCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ListVsLinkedList.ListPrepend: Job-JPKLFB(InvocationCount=10000, IterationCount=1, LaunchCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 6f69a7c5-bf42-426a-a234-8b71146dee6e.dll --anonymousPipes 1772 1776 --benchmarkName MyBenchmarks.ListVsLinkedList.ListPrepend --job "InvocationCount=10000, IterationCount=1, LaunchCount=1" --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6f69a7c5-bf42-426a-a234-8b71146dee6e\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-AZTHYD(InvocationCount=10000, IterationCount=1, LaunchCount=1)

OverheadJitting  1: 16 op, 1293900.00 ns, 80.8688 us/op
WorkloadJitting  1: 16 op, 1528900.00 ns, 95.5563 us/op

OverheadWarmup   1: 10000 op, 31800.00 ns, 3.1800 ns/op
OverheadWarmup   2: 10000 op, 27200.00 ns, 2.7200 ns/op
OverheadWarmup   3: 10000 op, 29400.00 ns, 2.9400 ns/op
OverheadWarmup   4: 10000 op, 27000.00 ns, 2.7000 ns/op
OverheadWarmup   5: 10000 op, 28600.00 ns, 2.8600 ns/op
OverheadWarmup   6: 10000 op, 30300.00 ns, 3.0300 ns/op
OverheadWarmup   7: 10000 op, 50900.00 ns, 5.0900 ns/op
OverheadWarmup   8: 10000 op, 34000.00 ns, 3.4000 ns/op

OverheadActual   1: 10000 op, 37600.00 ns, 3.7600 ns/op
OverheadActual   2: 10000 op, 28300.00 ns, 2.8300 ns/op
OverheadActual   3: 10000 op, 34900.00 ns, 3.4900 ns/op
OverheadActual   4: 10000 op, 26800.00 ns, 2.6800 ns/op
OverheadActual   5: 10000 op, 26800.00 ns, 2.6800 ns/op
OverheadActual   6: 10000 op, 25500.00 ns, 2.5500 ns/op
OverheadActual   7: 10000 op, 28600.00 ns, 2.8600 ns/op
OverheadActual   8: 10000 op, 26700.00 ns, 2.6700 ns/op
OverheadActual   9: 10000 op, 25800.00 ns, 2.5800 ns/op
OverheadActual  10: 10000 op, 33700.00 ns, 3.3700 ns/op
OverheadActual  11: 10000 op, 30200.00 ns, 3.0200 ns/op
OverheadActual  12: 10000 op, 79000.00 ns, 7.9000 ns/op
OverheadActual  13: 10000 op, 74500.00 ns, 7.4500 ns/op
OverheadActual  14: 10000 op, 28800.00 ns, 2.8800 ns/op
OverheadActual  15: 10000 op, 36500.00 ns, 3.6500 ns/op
OverheadActual  16: 10000 op, 48800.00 ns, 4.8800 ns/op
OverheadActual  17: 10000 op, 28600.00 ns, 2.8600 ns/op
OverheadActual  18: 10000 op, 29100.00 ns, 2.9100 ns/op
OverheadActual  19: 10000 op, 30600.00 ns, 3.0600 ns/op
OverheadActual  20: 10000 op, 31200.00 ns, 3.1200 ns/op

WorkloadWarmup   1: 10000 op, 217331300.00 ns, 21.7331 us/op
WorkloadWarmup   2: 10000 op, 199068900.00 ns, 19.9069 us/op
WorkloadWarmup   3: 10000 op, 212520600.00 ns, 21.2521 us/op
WorkloadWarmup   4: 10000 op, 215816600.00 ns, 21.5817 us/op
WorkloadWarmup   5: 10000 op, 254857100.00 ns, 25.4857 us/op
WorkloadWarmup   6: 10000 op, 339768800.00 ns, 33.9769 us/op
WorkloadWarmup   7: 10000 op, 285331800.00 ns, 28.5332 us/op
WorkloadWarmup   8: 10000 op, 303185600.00 ns, 30.3186 us/op
