// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\b8c50040-06ce-46c9-9f4d-8d0758c35011
// command took 2.25s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\b8c50040-06ce-46c9-9f4d-8d0758c35011
// command took 15.8s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\b8c50040-06ce-46c9-9f4d-8d0758c35011
// command took 4.71s and exited with 0
// ***** Done, took 00:00:23 (23.27 sec)   *****
// Found 3 benchmarks:
//   ArrayVsList.ArrayZeroSize: DefaultJob
//   ArrayVsList.ArrayFullSize: DefaultJob
//   ArrayVsList.ListFullSize: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ArrayVsList.ArrayZeroSize: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet b8c50040-06ce-46c9-9f4d-8d0758c35011.dll --anonymousPipes 1304 1644 --benchmarkName MyBenchmarks.ArrayVsList.ArrayZeroSize --job Default --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\b8c50040-06ce-46c9-9f4d-8d0758c35011\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 466800.00 ns, 466.8000 us/op
WorkloadJitting  1: 1 op, 1008400.00 ns, 1.0084 ms/op

OverheadJitting  2: 16 op, 515000.00 ns, 32.1875 us/op
WorkloadJitting  2: 16 op, 861800.00 ns, 53.8625 us/op

WorkloadPilot    1: 16 op, 5100.00 ns, 318.7500 ns/op
WorkloadPilot    2: 32 op, 4400.00 ns, 137.5000 ns/op
WorkloadPilot    3: 64 op, 6900.00 ns, 107.8125 ns/op
WorkloadPilot    4: 128 op, 5700.00 ns, 44.5312 ns/op
WorkloadPilot    5: 256 op, 6600.00 ns, 25.7812 ns/op
WorkloadPilot    6: 512 op, 25500.00 ns, 49.8047 ns/op
WorkloadPilot    7: 1024 op, 90900.00 ns, 88.7695 ns/op
WorkloadPilot    8: 2048 op, 101700.00 ns, 49.6582 ns/op
WorkloadPilot    9: 4096 op, 203200.00 ns, 49.6094 ns/op
WorkloadPilot   10: 8192 op, 269400.00 ns, 32.8857 ns/op
WorkloadPilot   11: 16384 op, 398400.00 ns, 24.3164 ns/op
WorkloadPilot   12: 32768 op, 1352900.00 ns, 41.2872 ns/op
WorkloadPilot   13: 65536 op, 2489600.00 ns, 37.9883 ns/op
WorkloadPilot   14: 131072 op, 6271200.00 ns, 47.8455 ns/op
WorkloadPilot   15: 262144 op, 10645200.00 ns, 40.6082 ns/op
WorkloadPilot   16: 524288 op, 18439700.00 ns, 35.1709 ns/op
WorkloadPilot   17: 1048576 op, 38006500.00 ns, 36.2458 ns/op
WorkloadPilot   18: 2097152 op, 67863900.00 ns, 32.3600 ns/op
WorkloadPilot   19: 4194304 op, 123270100.00 ns, 29.3899 ns/op
WorkloadPilot   20: 8388608 op, 267363100.00 ns, 31.8722 ns/op
WorkloadPilot   21: 16777216 op, 319901600.00 ns, 19.0676 ns/op
WorkloadPilot   22: 33554432 op, 466419200.00 ns, 13.9004 ns/op
WorkloadPilot   23: 67108864 op, 873826400.00 ns, 13.0210 ns/op

OverheadWarmup   1: 67108864 op, 193604800.00 ns, 2.8849 ns/op
OverheadWarmup   2: 67108864 op, 174293700.00 ns, 2.5972 ns/op
OverheadWarmup   3: 67108864 op, 142649800.00 ns, 2.1256 ns/op
OverheadWarmup   4: 67108864 op, 148459700.00 ns, 2.2122 ns/op
OverheadWarmup   5: 67108864 op, 155042300.00 ns, 2.3103 ns/op
OverheadWarmup   6: 67108864 op, 140925800.00 ns, 2.1000 ns/op
OverheadWarmup   7: 67108864 op, 184257100.00 ns, 2.7456 ns/op
OverheadWarmup   8: 67108864 op, 169814300.00 ns, 2.5304 ns/op

OverheadActual   1: 67108864 op, 146409300.00 ns, 2.1817 ns/op
OverheadActual   2: 67108864 op, 154310100.00 ns, 2.2994 ns/op
OverheadActual   3: 67108864 op, 145511400.00 ns, 2.1683 ns/op
OverheadActual   4: 67108864 op, 189592300.00 ns, 2.8251 ns/op
OverheadActual   5: 67108864 op, 145294000.00 ns, 2.1650 ns/op
OverheadActual   6: 67108864 op, 149276100.00 ns, 2.2244 ns/op
OverheadActual   7: 67108864 op, 140585500.00 ns, 2.0949 ns/op
OverheadActual   8: 67108864 op, 158348500.00 ns, 2.3596 ns/op
OverheadActual   9: 67108864 op, 150074000.00 ns, 2.2363 ns/op
OverheadActual  10: 67108864 op, 152349100.00 ns, 2.2702 ns/op
OverheadActual  11: 67108864 op, 164565400.00 ns, 2.4522 ns/op
OverheadActual  12: 67108864 op, 153467400.00 ns, 2.2868 ns/op
OverheadActual  13: 67108864 op, 147126700.00 ns, 2.1924 ns/op
OverheadActual  14: 67108864 op, 143551100.00 ns, 2.1391 ns/op
OverheadActual  15: 67108864 op, 141595400.00 ns, 2.1099 ns/op
OverheadActual  16: 67108864 op, 160573100.00 ns, 2.3927 ns/op
OverheadActual  17: 67108864 op, 155427800.00 ns, 2.3161 ns/op

WorkloadWarmup   1: 67108864 op, 959126900.00 ns, 14.2921 ns/op
