// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\ebf0b76b-c56d-4268-b60c-477c8fe7d2e4
// command took 2.82s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\ebf0b76b-c56d-4268-b60c-477c8fe7d2e4
// command took 16.84s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\ebf0b76b-c56d-4268-b60c-477c8fe7d2e4
// command took 4.71s and exited with 0
// ***** Done, took 00:00:24 (24.9 sec)   *****
// Found 3 benchmarks:
//   ArrayVsList.ArrayZeroSize: DefaultJob
//   ArrayVsList.ArrayFullSize: DefaultJob
//   ArrayVsList.ListFullSize: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ArrayVsList.ArrayZeroSize: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet ebf0b76b-c56d-4268-b60c-477c8fe7d2e4.dll --anonymousPipes 1784 1780 --benchmarkName MyBenchmarks.ArrayVsList.ArrayZeroSize --job Default --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\ebf0b76b-c56d-4268-b60c-477c8fe7d2e4\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 464800.00 ns, 464.8000 us/op
WorkloadJitting  1: 1 op, 522900.00 ns, 522.9000 us/op

OverheadJitting  2: 16 op, 796100.00 ns, 49.7563 us/op
WorkloadJitting  2: 16 op, 900600.00 ns, 56.2875 us/op

WorkloadPilot    1: 16 op, 3100.00 ns, 193.7500 ns/op
WorkloadPilot    2: 32 op, 25500.00 ns, 796.8750 ns/op
WorkloadPilot    3: 64 op, 4100.00 ns, 64.0625 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 5000.00 ns, 19.5312 ns/op
WorkloadPilot    6: 512 op, 20100.00 ns, 39.2578 ns/op
WorkloadPilot    7: 1024 op, 26900.00 ns, 26.2695 ns/op
WorkloadPilot    8: 2048 op, 29000.00 ns, 14.1602 ns/op
WorkloadPilot    9: 4096 op, 231600.00 ns, 56.5430 ns/op
WorkloadPilot   10: 8192 op, 435800.00 ns, 53.1982 ns/op
WorkloadPilot   11: 16384 op, 574100.00 ns, 35.0403 ns/op
WorkloadPilot   12: 32768 op, 945800.00 ns, 28.8635 ns/op
WorkloadPilot   13: 65536 op, 1318900.00 ns, 20.1248 ns/op
WorkloadPilot   14: 131072 op, 3284000.00 ns, 25.0549 ns/op
WorkloadPilot   15: 262144 op, 7789200.00 ns, 29.7134 ns/op
WorkloadPilot   16: 524288 op, 15280900.00 ns, 29.1460 ns/op
WorkloadPilot   17: 1048576 op, 28337300.00 ns, 27.0246 ns/op
WorkloadPilot   18: 2097152 op, 62330200.00 ns, 29.7214 ns/op
WorkloadPilot   19: 4194304 op, 103230100.00 ns, 24.6120 ns/op
WorkloadPilot   20: 8388608 op, 161670200.00 ns, 19.2726 ns/op
WorkloadPilot   21: 16777216 op, 255397400.00 ns, 15.2229 ns/op
WorkloadPilot   22: 33554432 op, 472430300.00 ns, 14.0795 ns/op
WorkloadPilot   23: 67108864 op, 890357900.00 ns, 13.2674 ns/op

OverheadWarmup   1: 67108864 op, 229337500.00 ns, 3.4174 ns/op
OverheadWarmup   2: 67108864 op, 155962800.00 ns, 2.3240 ns/op
OverheadWarmup   3: 67108864 op, 147786500.00 ns, 2.2022 ns/op
OverheadWarmup   4: 67108864 op, 142434800.00 ns, 2.1224 ns/op
OverheadWarmup   5: 67108864 op, 140687700.00 ns, 2.0964 ns/op
OverheadWarmup   6: 67108864 op, 155235000.00 ns, 2.3132 ns/op
OverheadWarmup   7: 67108864 op, 139034900.00 ns, 2.0718 ns/op
OverheadWarmup   8: 67108864 op, 139514300.00 ns, 2.0789 ns/op
OverheadWarmup   9: 67108864 op, 138616800.00 ns, 2.0656 ns/op

OverheadActual   1: 67108864 op, 139045200.00 ns, 2.0719 ns/op
OverheadActual   2: 67108864 op, 141216700.00 ns, 2.1043 ns/op
OverheadActual   3: 67108864 op, 139032000.00 ns, 2.0717 ns/op
OverheadActual   4: 67108864 op, 153317500.00 ns, 2.2846 ns/op
OverheadActual   5: 67108864 op, 142253200.00 ns, 2.1197 ns/op
OverheadActual   6: 67108864 op, 154877600.00 ns, 2.3079 ns/op
OverheadActual   7: 67108864 op, 158730000.00 ns, 2.3653 ns/op
OverheadActual   8: 67108864 op, 149087200.00 ns, 2.2216 ns/op
OverheadActual   9: 67108864 op, 140768700.00 ns, 2.0976 ns/op
OverheadActual  10: 67108864 op, 139422100.00 ns, 2.0776 ns/op
OverheadActual  11: 67108864 op, 139067400.00 ns, 2.0723 ns/op
OverheadActual  12: 67108864 op, 149851300.00 ns, 2.2330 ns/op
OverheadActual  13: 67108864 op, 152818800.00 ns, 2.2772 ns/op
OverheadActual  14: 67108864 op, 147310800.00 ns, 2.1951 ns/op
OverheadActual  15: 67108864 op, 143946500.00 ns, 2.1450 ns/op

WorkloadWarmup   1: 67108864 op, 933419800.00 ns, 13.9090 ns/op
WorkloadWarmup   2: 67108864 op, 856277700.00 ns, 12.7595 ns/op
