// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\776be11e-0ff6-48cf-805f-15e94f665985
// command took 3.84s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\776be11e-0ff6-48cf-805f-15e94f665985
// command took 22.74s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\776be11e-0ff6-48cf-805f-15e94f665985
// command took 5.6s and exited with 0
// ***** Done, took 00:00:32 (32.9 sec)   *****
// Found 4 benchmarks:
//   ListVsQueue.ListAdd: Job-YEXNQR(InvocationCount=1, UnrollFactor=1)
//   ListVsQueue.QueueAdd: Job-YEXNQR(InvocationCount=1, UnrollFactor=1)
//   ListVsQueue.ListRemove: Job-YEXNQR(InvocationCount=1, UnrollFactor=1)
//   ListVsQueue.QueueRemove: Job-YEXNQR(InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ListVsQueue.ListAdd: Job-YEXNQR(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 776be11e-0ff6-48cf-805f-15e94f665985.dll --anonymousPipes 1520 1268 --benchmarkName MyBenchmarks.ListVsQueue.ListAdd --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\776be11e-0ff6-48cf-805f-15e94f665985\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-LLZDEV(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 299000.00 ns, 299.0000 us/op
WorkloadJitting  1: 1 op, 839600.00 ns, 839.6000 us/op

OverheadWarmup   1: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   2: 1 op, 600.00 ns, 600.0000 ns/op
OverheadWarmup   3: 1 op, 1400.00 ns, 1.4000 us/op
OverheadWarmup   4: 1 op, 700.00 ns, 700.0000 ns/op
OverheadWarmup   5: 1 op, 700.00 ns, 700.0000 ns/op
OverheadWarmup   6: 1 op, 500.00 ns, 500.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 800.00 ns, 800.0000 ns/op
OverheadActual   3: 1 op, 1200.00 ns, 1.2000 us/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   6: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   7: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   8: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   9: 1 op, 2000.00 ns, 2.0000 us/op
OverheadActual  10: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  11: 1 op, 1200.00 ns, 1.2000 us/op
OverheadActual  12: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  13: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  14: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  15: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  16: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  17: 1 op, 5200.00 ns, 5.2000 us/op
OverheadActual  18: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  19: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  20: 1 op, 400.00 ns, 400.0000 ns/op

WorkloadWarmup   1: 1 op, 109800.00 ns, 109.8000 us/op
WorkloadWarmup   2: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadWarmup   3: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadWarmup   4: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadWarmup   5: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadWarmup   6: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadWarmup   7: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadWarmup   8: 1 op, 3000.00 ns, 3.0000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 28200.00 ns, 28.2000 us/op
WorkloadActual   2: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadActual   3: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual   4: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual   5: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual   6: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual   7: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual   8: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadActual   9: 1 op, 6400.00 ns, 6.4000 us/op
WorkloadActual  10: 1 op, 7500.00 ns, 7.5000 us/op
WorkloadActual  11: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual  12: 1 op, 73600.00 ns, 73.6000 us/op
WorkloadActual  13: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  14: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadActual  15: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadActual  16: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  17: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadActual  18: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  19: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadActual  20: 1 op, 6000.00 ns, 6.0000 us/op
