// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6fc79ce3-2205-49e1-930c-cfd938ca55c1
// command took 4.27s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6fc79ce3-2205-49e1-930c-cfd938ca55c1
// command took 19.53s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6fc79ce3-2205-49e1-930c-cfd938ca55c1
// command took 5.67s and exited with 0
// ***** Done, took 00:00:30 (30.06 sec)   *****
// Found 4 benchmarks:
//   ArrayVsList2.ListFor: DefaultJob
//   ArrayVsList2.ArrayFor: DefaultJob
//   ArrayVsList2.ListForEach: DefaultJob
//   ArrayVsList2.ArrayForEach: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ArrayVsList2.ListFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 6fc79ce3-2205-49e1-930c-cfd938ca55c1.dll --anonymousPipes 680 684 --benchmarkName MyBenchmarks.ArrayVsList2.ListFor --job Default --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\6fc79ce3-2205-49e1-930c-cfd938ca55c1\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 591300.00 ns, 591.3000 us/op
WorkloadJitting  1: 1 op, 6919600.00 ns, 6.9196 ms/op

OverheadJitting  2: 16 op, 473800.00 ns, 29.6125 us/op
WorkloadJitting  2: 16 op, 172897000.00 ns, 10.8061 ms/op

WorkloadPilot    1: 16 op, 146548400.00 ns, 9.1593 ms/op
WorkloadPilot    2: 32 op, 285269300.00 ns, 8.9147 ms/op
WorkloadPilot    3: 64 op, 442589400.00 ns, 6.9155 ms/op
WorkloadPilot    4: 128 op, 818517500.00 ns, 6.3947 ms/op

OverheadWarmup   1: 128 op, 9000.00 ns, 70.3125 ns/op
OverheadWarmup   2: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadWarmup   3: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadWarmup   4: 128 op, 900.00 ns, 7.0312 ns/op
OverheadWarmup   5: 128 op, 1200.00 ns, 9.3750 ns/op
OverheadWarmup   6: 128 op, 1100.00 ns, 8.5938 ns/op

OverheadActual   1: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual   2: 128 op, 3200.00 ns, 25.0000 ns/op
OverheadActual   3: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual   4: 128 op, 1300.00 ns, 10.1562 ns/op
OverheadActual   5: 128 op, 1200.00 ns, 9.3750 ns/op
OverheadActual   6: 128 op, 1800.00 ns, 14.0625 ns/op
OverheadActual   7: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual   8: 128 op, 900.00 ns, 7.0312 ns/op
OverheadActual   9: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual  10: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual  11: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual  12: 128 op, 1400.00 ns, 10.9375 ns/op
OverheadActual  13: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadActual  14: 128 op, 1600.00 ns, 12.5000 ns/op
OverheadActual  15: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual  16: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual  17: 128 op, 900.00 ns, 7.0312 ns/op
OverheadActual  18: 128 op, 2400.00 ns, 18.7500 ns/op
OverheadActual  19: 128 op, 1700.00 ns, 13.2812 ns/op
OverheadActual  20: 128 op, 2200.00 ns, 17.1875 ns/op

WorkloadWarmup   1: 128 op, 976530100.00 ns, 7.6291 ms/op
WorkloadWarmup   2: 128 op, 795955900.00 ns, 6.2184 ms/op
WorkloadWarmup   3: 128 op, 811875000.00 ns, 6.3428 ms/op
WorkloadWarmup   4: 128 op, 867771400.00 ns, 6.7795 ms/op
WorkloadWarmup   5: 128 op, 934027800.00 ns, 7.2971 ms/op
WorkloadWarmup   6: 128 op, 859034800.00 ns, 6.7112 ms/op
WorkloadWarmup   7: 128 op, 799673000.00 ns, 6.2474 ms/op
WorkloadWarmup   8: 128 op, 783768300.00 ns, 6.1232 ms/op
WorkloadWarmup   9: 128 op, 796251000.00 ns, 6.2207 ms/op
WorkloadWarmup  10: 128 op, 812948900.00 ns, 6.3512 ms/op
WorkloadWarmup  11: 128 op, 770259600.00 ns, 6.0177 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 807353300.00 ns, 6.3074 ms/op
WorkloadActual   2: 128 op, 801964600.00 ns, 6.2653 ms/op
WorkloadActual   3: 128 op, 803629200.00 ns, 6.2784 ms/op
WorkloadActual   4: 128 op, 795039400.00 ns, 6.2112 ms/op
WorkloadActual   5: 128 op, 738260200.00 ns, 5.7677 ms/op
WorkloadActual   6: 128 op, 833657100.00 ns, 6.5129 ms/op
WorkloadActual   7: 128 op, 863501600.00 ns, 6.7461 ms/op
WorkloadActual   8: 128 op, 815484000.00 ns, 6.3710 ms/op
WorkloadActual   9: 128 op, 1001432200.00 ns, 7.8237 ms/op
WorkloadActual  10: 128 op, 897248900.00 ns, 7.0098 ms/op
WorkloadActual  11: 128 op, 843590000.00 ns, 6.5905 ms/op
WorkloadActual  12: 128 op, 819162100.00 ns, 6.3997 ms/op
WorkloadActual  13: 128 op, 808473500.00 ns, 6.3162 ms/op
WorkloadActual  14: 128 op, 919609200.00 ns, 7.1844 ms/op
WorkloadActual  15: 128 op, 843353600.00 ns, 6.5887 ms/op
WorkloadActual  16: 128 op, 878243200.00 ns, 6.8613 ms/op
WorkloadActual  17: 128 op, 958515800.00 ns, 7.4884 ms/op
WorkloadActual  18: 128 op, 924997900.00 ns, 7.2265 ms/op
WorkloadActual  19: 128 op, 925982900.00 ns, 7.2342 ms/op
WorkloadActual  20: 128 op, 930422500.00 ns, 7.2689 ms/op
WorkloadActual  21: 128 op, 1055960400.00 ns, 8.2497 ms/op
WorkloadActual  22: 128 op, 1247030500.00 ns, 9.7424 ms/op
WorkloadActual  23: 128 op, 963171400.00 ns, 7.5248 ms/op
WorkloadActual  24: 128 op, 1082938400.00 ns, 8.4605 ms/op
WorkloadActual  25: 128 op, 964076000.00 ns, 7.5318 ms/op
WorkloadActual  26: 128 op, 1157535900.00 ns, 9.0432 ms/op
WorkloadActual  27: 128 op, 1018101600.00 ns, 7.9539 ms/op
WorkloadActual  28: 128 op, 827734200.00 ns, 6.4667 ms/op
WorkloadActual  29: 128 op, 804334200.00 ns, 6.2839 ms/op
WorkloadActual  30: 128 op, 908103900.00 ns, 7.0946 ms/op
WorkloadActual  31: 128 op, 1011396100.00 ns, 7.9015 ms/op
WorkloadActual  32: 128 op, 1000958300.00 ns, 7.8200 ms/op
WorkloadActual  33: 128 op, 916966400.00 ns, 7.1638 ms/op
WorkloadActual  34: 128 op, 939541100.00 ns, 7.3402 ms/op
WorkloadActual  35: 128 op, 822867700.00 ns, 6.4287 ms/op
WorkloadActual  36: 128 op, 866253800.00 ns, 6.7676 ms/op
WorkloadActual  37: 128 op, 848721300.00 ns, 6.6306 ms/op
WorkloadActual  38: 128 op, 1246370300.00 ns, 9.7373 ms/op
WorkloadActual  39: 128 op, 856617300.00 ns, 6.6923 ms/op
WorkloadActual  40: 128 op, 843006200.00 ns, 6.5860 ms/op
WorkloadActual  41: 128 op, 806564900.00 ns, 6.3013 ms/op
WorkloadActual  42: 128 op, 1268943600.00 ns, 9.9136 ms/op
WorkloadActual  43: 128 op, 1451862800.00 ns, 11.3427 ms/op
WorkloadActual  44: 128 op, 1014058700.00 ns, 7.9223 ms/op
WorkloadActual  45: 128 op, 961547600.00 ns, 7.5121 ms/op
WorkloadActual  46: 128 op, 1105455000.00 ns, 8.6364 ms/op
WorkloadActual  47: 128 op, 970232800.00 ns, 7.5799 ms/op
WorkloadActual  48: 128 op, 946111800.00 ns, 7.3915 ms/op
WorkloadActual  49: 128 op, 910968900.00 ns, 7.1169 ms/op
WorkloadActual  50: 128 op, 852385500.00 ns, 6.6593 ms/op
WorkloadActual  51: 128 op, 896829700.00 ns, 7.0065 ms/op
WorkloadActual  52: 128 op, 819702100.00 ns, 6.4039 ms/op
WorkloadActual  53: 128 op, 804334400.00 ns, 6.2839 ms/op
WorkloadActual  54: 128 op, 803220800.00 ns, 6.2752 ms/op
WorkloadActual  55: 128 op, 837359300.00 ns, 6.5419 ms/op
WorkloadActual  56: 128 op, 880184800.00 ns, 6.8764 ms/op
WorkloadActual  57: 128 op, 972501300.00 ns, 7.5977 ms/op
WorkloadActual  58: 128 op, 839104500.00 ns, 6.5555 ms/op
WorkloadActual  59: 128 op, 867957200.00 ns, 6.7809 ms/op
WorkloadActual  60: 128 op, 855843700.00 ns, 6.6863 ms/op
WorkloadActual  61: 128 op, 916311000.00 ns, 7.1587 ms/op
WorkloadActual  62: 128 op, 821478700.00 ns, 6.4178 ms/op
WorkloadActual  63: 128 op, 834541000.00 ns, 6.5199 ms/op
WorkloadActual  64: 128 op, 1230021500.00 ns, 9.6095 ms/op
WorkloadActual  65: 128 op, 1220972700.00 ns, 9.5388 ms/op
WorkloadActual  66: 128 op, 909902300.00 ns, 7.1086 ms/op
WorkloadActual  67: 128 op, 850947600.00 ns, 6.6480 ms/op
WorkloadActual  68: 128 op, 836689400.00 ns, 6.5366 ms/op
WorkloadActual  69: 128 op, 813421300.00 ns, 6.3549 ms/op
WorkloadActual  70: 128 op, 847586500.00 ns, 6.6218 ms/op
WorkloadActual  71: 128 op, 867280000.00 ns, 6.7756 ms/op
WorkloadActual  72: 128 op, 794523400.00 ns, 6.2072 ms/op
WorkloadActual  73: 128 op, 813332600.00 ns, 6.3542 ms/op
WorkloadActual  74: 128 op, 790616800.00 ns, 6.1767 ms/op
WorkloadActual  75: 128 op, 771119400.00 ns, 6.0244 ms/op
WorkloadActual  76: 128 op, 809105900.00 ns, 6.3211 ms/op
WorkloadActual  77: 128 op, 946420500.00 ns, 7.3939 ms/op
WorkloadActual  78: 128 op, 915609300.00 ns, 7.1532 ms/op
