// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\9ec2bc5f-852c-4c09-8453-266455958d19
// command took 2.75s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\9ec2bc5f-852c-4c09-8453-266455958d19
// command took 14.19s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\9ec2bc5f-852c-4c09-8453-266455958d19
// command took 4.86s and exited with 0
// ***** Done, took 00:00:22 (22.23 sec)   *****
// Found 3 benchmarks:
//   ArrayVsList.ArrayZeroSize: DefaultJob
//   ArrayVsList.ArrayFullSize: DefaultJob
//   ArrayVsList.ListFullSize: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ArrayVsList.ArrayZeroSize: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 9ec2bc5f-852c-4c09-8453-266455958d19.dll --anonymousPipes 700 704 --benchmarkName MyBenchmarks.ArrayVsList.ArrayZeroSize --job Default --benchmarkId 0 in C:\Users\danielri\source\repos\DataStructureBenchmarkDotnet\DataStructureBenchmarkDotnet\bin\Release\net7.0\9ec2bc5f-852c-4c09-8453-266455958d19\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 417300.00 ns, 417.3000 us/op
WorkloadJitting  1: 1 op, 3959100.00 ns, 3.9591 ms/op

OverheadJitting  2: 16 op, 819300.00 ns, 51.2062 us/op
WorkloadJitting  2: 16 op, 42175800.00 ns, 2.6360 ms/op

WorkloadPilot    1: 16 op, 39595900.00 ns, 2.4747 ms/op
WorkloadPilot    2: 32 op, 57272700.00 ns, 1.7898 ms/op
WorkloadPilot    3: 64 op, 61395300.00 ns, 959.3016 us/op
WorkloadPilot    4: 128 op, 106724100.00 ns, 833.7820 us/op
WorkloadPilot    5: 256 op, 93594500.00 ns, 365.6035 us/op
WorkloadPilot    6: 512 op, 227306200.00 ns, 443.9574 us/op
WorkloadPilot    7: 1024 op, 473335500.00 ns, 462.2417 us/op
WorkloadPilot    8: 2048 op, 745690300.00 ns, 364.1066 us/op

OverheadWarmup   1: 2048 op, 7700.00 ns, 3.7598 ns/op
OverheadWarmup   2: 2048 op, 35200.00 ns, 17.1875 ns/op
OverheadWarmup   3: 2048 op, 5400.00 ns, 2.6367 ns/op
OverheadWarmup   4: 2048 op, 35100.00 ns, 17.1387 ns/op
OverheadWarmup   5: 2048 op, 5900.00 ns, 2.8809 ns/op

OverheadActual   1: 2048 op, 24700.00 ns, 12.0605 ns/op
OverheadActual   2: 2048 op, 26600.00 ns, 12.9883 ns/op
OverheadActual   3: 2048 op, 6900.00 ns, 3.3691 ns/op
OverheadActual   4: 2048 op, 7700.00 ns, 3.7598 ns/op
OverheadActual   5: 2048 op, 27100.00 ns, 13.2324 ns/op
OverheadActual   6: 2048 op, 6500.00 ns, 3.1738 ns/op
OverheadActual   7: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadActual   8: 2048 op, 36900.00 ns, 18.0176 ns/op
OverheadActual   9: 2048 op, 6500.00 ns, 3.1738 ns/op
OverheadActual  10: 2048 op, 29200.00 ns, 14.2578 ns/op
OverheadActual  11: 2048 op, 28000.00 ns, 13.6719 ns/op
OverheadActual  12: 2048 op, 26100.00 ns, 12.7441 ns/op
OverheadActual  13: 2048 op, 5200.00 ns, 2.5391 ns/op
OverheadActual  14: 2048 op, 37600.00 ns, 18.3594 ns/op
OverheadActual  15: 2048 op, 31500.00 ns, 15.3809 ns/op
OverheadActual  16: 2048 op, 23100.00 ns, 11.2793 ns/op
OverheadActual  17: 2048 op, 31300.00 ns, 15.2832 ns/op
OverheadActual  18: 2048 op, 29800.00 ns, 14.5508 ns/op
OverheadActual  19: 2048 op, 8800.00 ns, 4.2969 ns/op
OverheadActual  20: 2048 op, 34300.00 ns, 16.7480 ns/op

WorkloadWarmup   1: 2048 op, 1487959200.00 ns, 726.5426 us/op
WorkloadWarmup   2: 2048 op, 845810500.00 ns, 412.9934 us/op
WorkloadWarmup   3: 2048 op, 857121600.00 ns, 418.5164 us/op
WorkloadWarmup   4: 2048 op, 984286600.00 ns, 480.6087 us/op
WorkloadWarmup   5: 2048 op, 951878600.00 ns, 464.7845 us/op
WorkloadWarmup   6: 2048 op, 663143900.00 ns, 323.8007 us/op
WorkloadWarmup   7: 2048 op, 955023300.00 ns, 466.3200 us/op
WorkloadWarmup   8: 2048 op, 929460300.00 ns, 453.8380 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 918899900.00 ns, 448.6816 us/op
WorkloadActual   2: 2048 op, 855162200.00 ns, 417.5597 us/op
WorkloadActual   3: 2048 op, 820718400.00 ns, 400.7414 us/op
WorkloadActual   4: 2048 op, 813133900.00 ns, 397.0380 us/op
WorkloadActual   5: 2048 op, 841163200.00 ns, 410.7242 us/op
WorkloadActual   6: 2048 op, 816610500.00 ns, 398.7356 us/op
WorkloadActual   7: 2048 op, 856460200.00 ns, 418.1935 us/op
WorkloadActual   8: 2048 op, 831369000.00 ns, 405.9419 us/op
WorkloadActual   9: 2048 op, 822882300.00 ns, 401.7980 us/op
WorkloadActual  10: 2048 op, 848692500.00 ns, 414.4006 us/op
